series,date,hour,bucket,price,model_p,edge,won,determined,source
KXHIGHNY,2026-06-08,16,74-75,0.955,0.9516,-0.0033999999999999586,True,True,metar_6h_group
KXHIGHNY,2026-06-09,13,80-81,0.235,0.2100920792079213,-0.02490792079207868,False,False,hourly_snapshot
KXHIGHNY,2026-06-09,13,78-79,0.755,0.5341782178217822,-0.2208217821782178,True,False,hourly_snapshot
KXHIGHNY,2026-06-09,14,80-81,0.04,0.09319999999999995,0.05319999999999995,False,False,metar_6h_group
KXHIGHNY,2026-06-09,14,78-79,0.955,0.8937,-0.06129999999999991,True,False,metar_6h_group
KXHIGHNY,2026-06-09,15,80-81,0.375,0.5932554455445557,0.21825544554455567,False,False,hourly_snapshot
KXHIGHNY,2026-06-09,15,78-79,0.5700000000000001,0.2802376237623763,-0.28976237623762374,True,False,hourly_snapshot
KXHIGHNY,2026-06-09,16,80-81,0.175,0.594887128712871,0.419887128712871,False,False,hourly_snapshot
KXHIGHNY,2026-06-09,16,78-79,0.845,0.30149702970297027,-0.5435029702970298,True,False,hourly_snapshot
KXHIGHNY,2026-06-10,13,81-82,0.69,0.49059405940594103,-0.19940594059405892,True,False,hourly_snapshot
KXHIGHNY,2026-06-10,14,81-82,0.865,0.7533,-0.11170000000000002,True,False,metar_6h_group
KXHIGHNY,2026-06-10,15,81-82,0.945,0.8845,-0.0605,True,False,metar_6h_group
KXHIGHNY,2026-06-10,16,81-82,0.9450000000000001,0.9516,0.006599999999999939,True,True,metar_6h_group
KXHIGHNY,2026-06-10,17,81-82,0.96,0.9869,0.026900000000000035,True,True,metar_6h_group
KXHIGHNY,2026-06-11,13,94-95,0.235,0.10369009900990107,-0.13130990099009893,False,False,hourly_snapshot
KXHIGHNY,2026-06-11,13,92-93,0.7,0.3617603960396039,-0.33823960396039604,False,False,hourly_snapshot
KXHIGHNY,2026-06-11,13,90-91,0.1,0.49059405940594103,0.39059405940594105,True,False,hourly_snapshot
KXHIGHNY,2026-06-11,14,92-93,0.405,0.21520000000000006,-0.18979999999999997,False,False,metar_6h_group
KXHIGHNY,2026-06-11,14,90-91,0.495,0.7533,0.2583,True,False,metar_6h_group
